imf_ccode,year,art8,restrict,flexible,gnpcap,regnorm,gdpgrow,resgdp,bopgdp,useimfcr,surveil,univers,resvol,totvol,tradedep,lastrest,lastrest2,lastrest3,military,termlim,parli,shift_left,leftshift_inc,rightshift_inc,leftshift_exc,rightshift_exc,leftshift_inc_leg,rightshift_inc_leg,leftshift_exc_leg,rightshift_exc_leg,shift_left_fixed,leftrule,l_leftshift_inc,l_rightshift_inc,l_leftshift_exc,l_rightshift_exc,l_leftshift_inc_leg,l_rightshift_inc_leg,l_leftshift_exc_leg,l_rightshift_exc_leg,year2,year3,interact1,interact2,interact3,interact4,interact5
63,1968,1,1,0,1430,23.076923370361328,12.734092712402344,0.020225200802087784,0.8018726110458374,0,0,31.730770111083984,-4.502519130706787,2.9050419330596924,20.04001808166504,0,0,0,0.13622976156072908,1.6447277290174465,0.8597085339832687,0.1381820720369384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3873024,7622111232,NA,NA,NA,NA,NA
63,1969,1,1,0,1680,38.46154022216797,12.70339298248291,0.02115190029144287,1.3132350444793701,0,0,33.9622688293457,-4.502519130706787,2.9050419330596924,20.5778751373291,0,0,0,0.7403231307718492,0.2696822431638534,-0.06554020005077532,0.2892429707424864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3876961,7633736192,NA,NA,NA,NA,NA
63,1970,1,1,0,1940,38.46154022216797,10.589909553527832,0.023933500051498413,1.0651030540466309,0,0,33.02751922607422,-4.502519130706787,2.9050419330596924,21.449316024780273,0,0,0,0.9015036043538938,1.1424055732179919,0.43938855383682685,-0.0011255891242001603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3880900,7645372928,NA,NA,NA,NA,NA
63,1971,1,0,0,2130,38.46154022216797,4.645744800567627,0.06721939891576767,2.6082160472869873,0,0,33.33333969116211,-4.502519130706787,2.9050419330596924,22.0423526763916,0,0,0,0.5220973313780943,0.5333620433325879,-0.06642172217550008,0.28669079201622943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3884841,7657021440,NA,NA,NA,NA,NA
63,1972,1,0,0,2610,33.333335876464844,8.466082572937012,0.06212349981069565,2.2871251106262207,0,0,31.896549224853516,-4.502519130706787,2.9050419330596924,20.16391372680664,1,1,1,1.0399496977563711,0.2245866713446949,0.1243341691048048,0.3062285424029375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3888784,7668682240,NA,NA,NA,NA,NA
63,1973,1,0,0,3470,40,8.198434829711914,0.03314569965004921,0.01865839958190918,0,0,30.894309997558594,-4.502519130706787,2.9050419330596924,21.559541702270508,2,4,8,1.1365068215307201,0.056597114827846684,-0.3405569525610779,0.21384171547851855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3892729,7680354304,NA,NA,NA,NA,NA
63,1974,1,0,1,4260,40,-1.315687894821167,0.036011599004268646,-0.9824178218841553,0,0,33.8709716796875,-4.502519130706787,2.9050419330596924,29.887554168701172,3,9,27,0.09476809833220073,1.2369421952498532,0.7287657278143043,0.01026119805092094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3896676,7692038656,NA,NA,NA,NA,NA
63,1975,1,0,1,4950,40,2.906463861465454,0.02983509935438633,-0.0826433002948761,0,0,35.48387145996094,-4.502519130706787,2.9050419330596924,27.367929458618164,4,16,64,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3900625,7703734272,NA,NA,NA,NA,0
63,1976,1,0,1,5190,43.75,3.9501514434814453,0.03309750184416771,0.6986979246139526,0,0,35.43307113647461,-4.502519130706787,2.9050419330596924,27.93593978881836,5,25,125,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3904576,7715442176,0,0,0,0,0
63,1977,1,0,1,5720,43.75,4.2432403564453125,0.03747659921646118,1.5781769752502441,0,0,36.2204704284668,-4.502519130706787,2.9050419330596924,25.77591896057129,6,36,216,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3908529,7727161856,0,0,0,0,0
63,1978,1,0,1,7140,43.75,5.205719470977783,0.03894200176000595,1.7018259763717651,0,1,36.64122009277344,-4.502519130706787,2.9050419330596924,21.759275436401367,7,49,343,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3912484,7738893312,0,0,0,0,0
